公司家数,平均价格,当前价,总成交量,总成交额,涨跌幅,涨跌幅1,涨跌额,涨跌额1,版块,领涨股
41,6.28,6.66,6714219.68,432365.13,0.27%,5.55%,0.02,0.35,煤炭行业,开滦股份
60,5.59,2.74,11413589.99,576631.88,-0.49%,3.79%,-0.03,0.10,钢铁行业,*ST创兴
24,5.89,12.17,1994012.12,128890.00,-0.51%,7.04%,-0.03,0.80,造纸行业,神雾节能
51,10.24,43.73,13495966.79,1262575.13,-0.73%,0.81%,-0.07,0.35,金融行业,新华保险
123,6.62,8.86,13350969.59,698372.23,-0.89%,10.06%,-0.06,0.81,房地产,浙江东日
20,4.63,7.76,716948.23,29123.38,-0.96%,0.52%,-0.04,0.04,公路桥梁,东莞控股
49,8.92,11.04,2509668.14,231619.55,-1.02%,9.96%,-0.09,1.00,服装鞋类,朗姿股份
25,6.44,7.36,1078234.92,73283.19,-1.22%,1.24%,-0.08,0.09,供水供气,重庆燃气
62,5.42,8.11,4154986.39,199345.64,-1.28%,2.66%,-0.07,0.21,电力行业,岷江水电
202,7.50,2.75,2847351.14,410738.00,-1.36%,10.00%,-0.10,0.25,其它行业,宁通信B
48,11.23,4.69,4049293.27,419770.98,-1.41%,6.83%,-0.16,0.30,仪器仪表,东方网络
8,10.06,1.43,292165.71,21582.31,-1.45%,2.14%,-0.15,0.03,纺织机械,*ST毅达
72,7.98,14.78,7054384.78,455714.12,-1.48%,3.72%,-0.12,0.53,有色金属,宝钛股份
20,6.55,3.05,2511248.98,116129.57,-1.48%,6.64%,-0.10,0.19,印刷包装,珠海中富
65,6.53,13.92,3531129.58,225889.56,-1.50%,2.65%,-0.10,0.36,发电设备,森源电气
211,8.22,3.06,12827029.77,880921.82,-1.52%,6.25%,-0.13,0.18,机械行业,科融环境
46,9.84,40.60,3345066.39,288519.92,-1.52%,3.86%,-0.15,1.51,农药化肥,国光股份
10,9.22,18.07,300005.14,20669.09,-1.55%,0.06%,-0.14,0.01,开发区,外高桥
16,13.53,5.01,452301.70,43556.00,-1.58%,0.20%,-0.22,0.01,家具行业,美克家居
14,14.60,20.82,874778.47,113456.38,-1.61%,-0.34%,-0.24,-0.07,飞机制造,航新科技
103,10.54,7.45,5575000.41,456509.44,-1.62%,1.78%,-0.17,0.13,汽车制造,银轮股份
35,12.64,19.27,1516918.89,229294.70,-1.64%,3.38%,-0.21,0.63,酒店旅游,巨人网络
33,41.05,105.10,1907826.31,825462.64,-1.66%,0.82%,-0.69,0.86,酿酒行业,洋河股份
152,9.86,12.65,15473107.94,1438149.82,-1.84%,4.03%,-0.19,0.49,电子器件,华灿光电
33,5.71,2.28,2875107.25,122851.25,-1.86%,1.79%,-0.11,0.04,综合行业,新潮能源
93,10.62,4.39,5332580.67,440841.03,-1.87%,2.33%,-0.20,0.10,商业百货,吉峰农机
24,6.84,4.27,2451208.61,162490.26,-1.92%,0.95%,-0.13,0.04,石油行业,*ST准油
26,7.50,7.42,2539421.05,233674.11,-1.93%,0.41%,-0.15,0.03,化纤行业,*ST尤夫
150,9.30,3.28,9708708.89,944953.01,-1.98%,5.13%,-0.19,0.16,化工行业,*ST双环
64,8.01,5.12,5548622.05,397692.11,-1.98%,1.59%,-0.16,0.08,农林牧渔,大湖股份
58,8.90,7.82,2691611.16,207363.26,-1.99%,2.22%,-0.18,0.17,电器行业,猛狮科技
247,11.94,6.25,32653386.58,3797022.45,-1.99%,6.66%,-0.24,0.39,电子信息,南京熊猫
8,7.75,4.04,921663.81,46758.12,-1.99%,-0.49%,-0.16,-0.02,船舶制造,中国重工
19,8.60,7.71,1187861.00,87456.84,-2.00%,0.78%,-0.18,0.06,玻璃行业,山东华鹏
37,11.36,8.72,2694414.77,411364.57,-2.07%,3.32%,-0.24,0.28,家电行业,新宝股份
27,8.08,7.51,1629854.64,127459.12,-2.13%,3.02%,-0.18,0.22,环保行业,神雾环保
91,7.05,7.95,10288268.66,657481.30,-2.15%,5.02%,-0.16,0.38,建筑建材,柯利达
40,7.32,11.53,2621118.61,170717.78,-2.20%,1.85%,-0.16,0.21,传媒娱乐,南华生物
42,6.52,3.75,3329098.31,173116.37,-2.21%,1.90%,-0.15,0.07,纺织行业,新野纺织
87,7.64,3.18,10008694.72,657560.61,-2.29%,1.27%,-0.18,0.04,交通运输,皖江物流
6,5.70,4.95,201708.70,10638.41,-2.37%,1.43%,-0.14,0.07,摩托车,ST嘉陵
26,10.53,6.13,2874678.17,354306.46,-2.62%,0.00%,-0.28,0.00,水泥行业,中再资环
155,15.67,4.59,10165887.75,1646499.96,-2.68%,9.29%,-0.43,0.39,生物制药,誉衡药业
58,10.39,22.56,4088274.62,515470.69,-2.69%,0.67%,-0.29,0.15,食品行业,双汇发展
8,8.29,1.87,196190.29,16386.38,-2.74%,0.00%,-0.23,0.00,陶瓷行业,*ST新亿
18,40.80,55.30,881176.79,318974.44,-2.81%,1.69%,-1.18,0.92,次新股,爱婴室
33,8.12,4.63,2651017.53,152191.07,-2.90%,2.89%,-0.24,0.13,塑料制品,胜利股份
21,8.18,4.32,1231815.92,110865.87,-3.13%,0.47%,-0.26,0.02,物资外贸,汇鸿集团
31,14.48,10.59,1547314.23,286202.15,-3.54%,1.63%,-0.53,0.17,医疗器械,戴维医疗
